"","row","column","cor","pval"
"13","Glyma.01G006400","Glyma.01G016500",0.991,1.59e-05
"45","Glyma.01G021300","Glyma.01G021400",0.996,1.76e-06
"52","Glyma.01G019400","Glyma.01G022500",0.99,1.71e-05
"71","Glyma.01G015400","Glyma.01G026700",0.991,1.61e-05
"78","Glyma.01G025100","Glyma.01G026700",0.992,1.13e-05
"117","Glyma.01G025100","Glyma.01G028900",0.997,7.58e-07
"217","Glyma.01G019400","Glyma.01G050100",0.99,1.82e-05
"258","Glyma.01G015400","Glyma.01G056300",0.99,1.74e-05
"259","Glyma.01G016500","Glyma.01G056300",0.994,5.91e-06
"265","Glyma.01G025100","Glyma.01G056300",0.991,1.41e-05
"303","Glyma.01G006400","Glyma.01G058000",0.998,4.15e-07
"332","Glyma.01G019400","Glyma.01G063000",0.995,4.11e-06
"336","Glyma.01G022500","Glyma.01G063000",0.998,1.78e-07
"351","Glyma.01G058000","Glyma.01G063000",0.99,1.7e-05
"390","Glyma.01G025100","Glyma.01G081300",0.992,1.25e-05
"391","Glyma.01G026700","Glyma.01G081300",0.992,9.81e-06
"394","Glyma.01G028900","Glyma.01G081300",0.991,1.46e-05
"402","Glyma.01G056300","Glyma.01G081300",0.992,1.18e-05
"442","Glyma.01G019400","Glyma.01G090200",0.999,1.01e-07
"457","Glyma.01G050100","Glyma.01G090200",0.995,3.14e-06
"468","Glyma.01G006400","Glyma.01G095500",0.991,1.51e-05
"491","Glyma.01G058000","Glyma.01G095500",0.996,1.39e-06
"531","Glyma.01G006400","Glyma.01G107500",0.997,9.32e-07
"534","Glyma.01G016500","Glyma.01G107500",0.99,1.76e-05
"540","Glyma.01G025100","Glyma.01G107500",0.994,4.35e-06
"544","Glyma.01G028900","Glyma.01G107500",0.991,1.33e-05
"554","Glyma.01G058000","Glyma.01G107500",0.996,2.04e-06
"634","Glyma.01G010100","Glyma.01G120400",0.991,1.6e-05
"661","Glyma.01G090200","Glyma.01G120400",0.99,1.86e-05
"707","Glyma.01G010100","Glyma.01G131300",0.993,6.94e-06
"740","Glyma.01G120400","Glyma.01G131300",0.992,1.15e-05
"748","Glyma.01G019400","Glyma.01G131500",0.997,1.34e-06
"763","Glyma.01G050100","Glyma.01G131500",0.992,1.1e-05
"768","Glyma.01G063000","Glyma.01G131500",0.991,1.67e-05
"772","Glyma.01G090200","Glyma.01G131500",0.998,3.26e-07
"778","Glyma.01G120400","Glyma.01G131500",0.991,1.64e-05
"833","Glyma.01G026700","Glyma.01G133000",0.992,1.2e-05
"846","Glyma.01G058000","Glyma.01G133000",0.992,1.13e-05
"852","Glyma.01G095500","Glyma.01G133000",0.999,1.36e-07
"973","Glyma.01G063000","Glyma.01G148800",0.993,8.01e-06
"986","Glyma.01G131500","Glyma.01G148800",0.992,1.24e-05
"993","Glyma.01G006400","Glyma.01G151700",0.993,7.04e-06
"1016","Glyma.01G058000","Glyma.01G151700",0.991,1.45e-05
"1024","Glyma.01G107500","Glyma.01G151700",0.993,7.5e-06
"1237","Glyma.01G025100","Glyma.01G157600",0.997,7.41e-07
"1238","Glyma.01G026700","Glyma.01G157600",0.996,2.27e-06
"1241","Glyma.01G028900","Glyma.01G157600",0.994,5.12e-06
"1251","Glyma.01G058000","Glyma.01G157600",0.99,1.88e-05
"1254","Glyma.01G081300","Glyma.01G157600",0.995,3.47e-06
"1257","Glyma.01G095500","Glyma.01G157600",0.993,7.28e-06
"1267","Glyma.01G133000","Glyma.01G157600",0.992,9.52e-06
"1329","Glyma.01G006400","Glyma.01G159800",0.994,6.46e-06
"1347","Glyma.01G046000","Glyma.01G159800",0.99,1.7e-05
"1352","Glyma.01G058000","Glyma.01G159800",0.996,1.68e-06
"1360","Glyma.01G107500","Glyma.01G159800",0.99,1.71e-05
"1372","Glyma.01G151700","Glyma.01G159800",0.991,1.34e-05
"1425","Glyma.01G153000","Glyma.01G161500",0.998,5.67e-07
"1443","Glyma.01G025100","Glyma.01G164300",0.998,4.64e-07
"1444","Glyma.01G026700","Glyma.01G164300",0.993,7.4e-06
"1447","Glyma.01G028900","Glyma.01G164300",0.991,1.3e-05
"1455","Glyma.01G056300","Glyma.01G164300",0.992,9.87e-06
"1465","Glyma.01G107500","Glyma.01G164300",0.993,8.53e-06
"1482","Glyma.01G157600","Glyma.01G164300",0.993,6.94e-06
"1494","Glyma.01G021300","Glyma.01G164500",0.996,1.89e-06
"1495","Glyma.01G021400","Glyma.01G164500",0.992,9.87e-06
"1554","Glyma.01G026800","Glyma.01G164900",0.992,1.14e-05
"1569","Glyma.01G081300","Glyma.01G164900",0.996,1.46e-06
"1591","Glyma.01G157600","Glyma.01G164900",0.991,1.36e-05
"1603","Glyma.01G019400","Glyma.01G167500",0.991,1.46e-05
"1607","Glyma.01G022500","Glyma.01G167500",0.998,1.89e-07
"1623","Glyma.01G063000","Glyma.01G167500",0.998,2.05e-07
"1641","Glyma.01G148800","Glyma.01G167500",0.99,1.87e-05
"1662","Glyma.01G021300","Glyma.01G170200",0.99,1.88e-05
"1678","Glyma.01G057100","Glyma.01G170200",0.991,1.62e-05
"1773","Glyma.01G006400","Glyma.01G181500",0.994,4.31e-06
"1776","Glyma.01G016500","Glyma.01G181500",0.993,8.25e-06
"1782","Glyma.01G025100","Glyma.01G181500",0.994,5.1e-06
"1783","Glyma.01G026700","Glyma.01G181500",0.991,1.43e-05
"1794","Glyma.01G056300","Glyma.01G181500",0.996,2.2e-06
"1796","Glyma.01G058000","Glyma.01G181500",0.996,2.42e-06
"1802","Glyma.01G095500","Glyma.01G181500",0.993,6.71e-06
"1804","Glyma.01G107500","Glyma.01G181500",0.996,2.04e-06
"1812","Glyma.01G133000","Glyma.01G181500",0.992,1.16e-05
"1821","Glyma.01G157600","Glyma.01G181500",0.993,8.54e-06
"1825","Glyma.01G164300","Glyma.01G181500",0.994,5.58e-06
"1877","Glyma.01G153000","Glyma.01G183200",0.998,4.64e-07
"1884","Glyma.01G161500","Glyma.01G183200",0.991,1.33e-05
"2106","Glyma.01G058000","Glyma.01G197800",0.992,1.12e-05
"2112","Glyma.01G095500","Glyma.01G197800",0.999,1.53e-07
"2122","Glyma.01G133000","Glyma.01G197800",0.999,1.8e-08
"2169","Glyma.01G056300","Glyma.01G199600",0.99,1.87e-05
"2258","Glyma.01G153000","Glyma.01G214600",0.997,1.35e-06
"2265","Glyma.01G161500","Glyma.01G214600",0.999,1.12e-07
"2273","Glyma.01G183200","Glyma.01G214600",0.991,1.66e-05
"2281","Glyma.01G006400","Glyma.01G218800",0.996,1.52e-06
"2290","Glyma.01G025100","Glyma.01G218800",0.99,1.7e-05
"2294","Glyma.01G028900","Glyma.01G218800",0.991,1.38e-05
"2299","Glyma.01G046000","Glyma.01G218800",0.991,1.48e-05
"2304","Glyma.01G058000","Glyma.01G218800",0.998,2.46e-07
"2310","Glyma.01G095500","Glyma.01G218800",0.993,6.61e-06
"2312","Glyma.01G107500","Glyma.01G218800",0.993,7.23e-06
"2329","Glyma.01G157600","Glyma.01G218800",0.991,1.52e-05
"2331","Glyma.01G159800","Glyma.01G218800",0.996,2.3e-06
"2339","Glyma.01G181500","Glyma.01G218800",0.994,6.22e-06
"2349","Glyma.01G006400","Glyma.01G219600",0.997,7.48e-07
"2357","Glyma.01G022500","Glyma.01G219600",0.991,1.66e-05
"2358","Glyma.01G025100","Glyma.01G219600",0.994,6.4e-06
"2362","Glyma.01G028900","Glyma.01G219600",0.991,1.48e-05
"2372","Glyma.01G058000","Glyma.01G219600",1,1.06e-08
"2373","Glyma.01G063000","Glyma.01G219600",0.991,1.66e-05
"2378","Glyma.01G095500","Glyma.01G219600",0.996,1.78e-06
"2380","Glyma.01G107500","Glyma.01G219600",0.997,8.33e-07
"2388","Glyma.01G133000","Glyma.01G219600",0.992,1.17e-05
"2397","Glyma.01G157600","Glyma.01G219600",0.993,7.6e-06
"2399","Glyma.01G159800","Glyma.01G219600",0.995,3.5e-06
"2404","Glyma.01G167500","Glyma.01G219600",0.99,1.83e-05
"2407","Glyma.01G181500","Glyma.01G219600",0.997,9.2e-07
"2412","Glyma.01G197800","Glyma.01G219600",0.991,1.41e-05
"2415","Glyma.01G218800","Glyma.01G219600",0.998,1.77e-07
"2418","Glyma.01G006400","Glyma.01G225200",0.993,6.93e-06
"2426","Glyma.01G022500","Glyma.01G225200",0.993,7.65e-06
"2427","Glyma.01G025100","Glyma.01G225200",0.995,2.87e-06
"2428","Glyma.01G026700","Glyma.01G225200",0.99,1.8e-05
"2431","Glyma.01G028900","Glyma.01G225200",0.99,1.84e-05
"2441","Glyma.01G058000","Glyma.01G225200",0.998,5.99e-07
"2442","Glyma.01G063000","Glyma.01G225200",0.992,1.05e-05
"2447","Glyma.01G095500","Glyma.01G225200",0.997,7.24e-07
"2449","Glyma.01G107500","Glyma.01G225200",0.996,2.04e-06
"2457","Glyma.01G133000","Glyma.01G225200",0.994,4.53e-06
"2466","Glyma.01G157600","Glyma.01G225200",0.996,2.17e-06
"2468","Glyma.01G159800","Glyma.01G225200",0.991,1.62e-05
"2470","Glyma.01G164300","Glyma.01G225200",0.992,1.14e-05
"2473","Glyma.01G167500","Glyma.01G225200",0.994,5.64e-06
"2476","Glyma.01G181500","Glyma.01G225200",0.997,6.5e-07
"2481","Glyma.01G197800","Glyma.01G225200",0.993,7.45e-06
"2484","Glyma.01G218800","Glyma.01G225200",0.995,2.61e-06
"2485","Glyma.01G219600","Glyma.01G225200",0.999,9.66e-08
"2534","Glyma.01G155300","Glyma.01G227200",0.992,9.85e-06
"2544","Glyma.01G170200","Glyma.01G227200",0.992,1.02e-05
"2640","Glyma.01G025100","Glyma.01G236600",0.996,1.76e-06
"2644","Glyma.01G028900","Glyma.01G236600",0.992,1.11e-05
"2662","Glyma.01G107500","Glyma.01G236600",0.995,3.41e-06
"2664","Glyma.01G117800","Glyma.01G236600",0.99,1.91e-05
"2679","Glyma.01G157600","Glyma.01G236600",0.991,1.48e-05
"2683","Glyma.01G164300","Glyma.01G236600",0.997,1.11e-06
"2699","Glyma.01G225200","Glyma.01G236600",0.99,1.68e-05
"2853","Glyma.01G006400","Glyma.02G000600",0.992,9.97e-06
"2856","Glyma.01G016500","Glyma.02G000600",0.992,1.01e-05
"2861","Glyma.01G022500","Glyma.02G000600",0.994,5.33e-06
"2876","Glyma.01G058000","Glyma.02G000600",0.994,6.2e-06
"2877","Glyma.01G063000","Glyma.02G000600",0.994,4.46e-06
"2884","Glyma.01G107500","Glyma.02G000600",0.996,1.97e-06
"2908","Glyma.01G167500","Glyma.02G000600",0.993,8.09e-06
"2911","Glyma.01G181500","Glyma.02G000600",0.995,2.62e-06
"2919","Glyma.01G218800","Glyma.02G000600",0.99,1.7e-05
"2920","Glyma.01G219600","Glyma.02G000600",0.995,3.57e-06
"2921","Glyma.01G225200","Glyma.02G000600",0.994,4.97e-06
"3016","Glyma.01G026700","Glyma.02G003300",0.995,3.52e-06
"3046","Glyma.01G139600","Glyma.02G003300",0.993,7.4e-06
"3058","Glyma.01G164300","Glyma.02G003300",0.993,6.79e-06
"3209","Glyma.01G155300","Glyma.02G008100",0.995,3.04e-06
"3328","Glyma.01G019400","Glyma.02G015500",0.991,1.46e-05
"3358","Glyma.01G120400","Glyma.02G015500",0.991,1.42e-05
"3406","Glyma.01G006400","Glyma.02G017400",0.995,4.2e-06
"3429","Glyma.01G058000","Glyma.02G017400",0.998,5.5e-07
"3430","Glyma.01G063000","Glyma.02G017400",0.99,1.88e-05
"3435","Glyma.01G095500","Glyma.02G017400",0.996,1.48e-06
"3437","Glyma.01G107500","Glyma.02G017400",0.991,1.62e-05
"3445","Glyma.01G133000","Glyma.02G017400",0.993,7.86e-06
"3456","Glyma.01G159800","Glyma.02G017400",0.992,9.89e-06
"3464","Glyma.01G181500","Glyma.02G017400",0.992,1.04e-05
"3469","Glyma.01G197800","Glyma.02G017400",0.994,6.31e-06
"3472","Glyma.01G218800","Glyma.02G017400",0.993,8.4e-06
"3473","Glyma.01G219600","Glyma.02G017400",0.995,2.77e-06
"3474","Glyma.01G225200","Glyma.02G017400",0.994,6.17e-06
"3486","Glyma.02G015500","Glyma.02G017400",0.995,4.01e-06
"3658","Glyma.01G006400","Glyma.02G032800",0.994,4.78e-06
"3667","Glyma.01G025100","Glyma.02G032800",0.999,1.62e-07
"3668","Glyma.01G026700","Glyma.02G032800",0.992,9.7e-06
"3671","Glyma.01G028900","Glyma.02G032800",0.997,1.14e-06
"3679","Glyma.01G056300","Glyma.02G032800",0.994,5.54e-06
"3681","Glyma.01G058000","Glyma.02G032800",0.994,5.43e-06
"3684","Glyma.01G081300","Glyma.02G032800",0.992,1.04e-05
"3687","Glyma.01G095500","Glyma.02G032800",0.991,1.44e-05
"3689","Glyma.01G107500","Glyma.02G032800",0.997,1.22e-06
"3706","Glyma.01G157600","Glyma.02G032800",0.997,1.15e-06
"3710","Glyma.01G164300","Glyma.02G032800",0.996,1.99e-06
"3716","Glyma.01G181500","Glyma.02G032800",0.997,1.13e-06
"3724","Glyma.01G218800","Glyma.02G032800",0.995,4.22e-06
"3725","Glyma.01G219600","Glyma.02G032800",0.996,1.44e-06
"3726","Glyma.01G225200","Glyma.02G032800",0.996,1.56e-06
"3729","Glyma.01G236600","Glyma.02G032800",0.995,4.05e-06
"3732","Glyma.02G000600","Glyma.02G032800",0.991,1.53e-05
"3790","Glyma.01G155300","Glyma.02G033400",0.991,1.53e-05
"3813","Glyma.01G227200","Glyma.02G033400",0.995,3.87e-06
"3864","Glyma.01G117800","Glyma.02G035600",0.993,9.11e-06
"3883","Glyma.01G164300","Glyma.02G035600",0.992,1.02e-05
"3902","Glyma.01G236600","Glyma.02G035600",0.993,6.61e-06
"3919","Glyma.01G006400","Glyma.02G036300",0.99,1.87e-05
"3923","Glyma.01G019400","Glyma.02G036300",0.993,8.93e-06
"3927","Glyma.01G022500","Glyma.02G036300",0.994,5.95e-06
"3942","Glyma.01G058000","Glyma.02G036300",0.996,1.87e-06
"3943","Glyma.01G063000","Glyma.02G036300",0.995,3.54e-06
"3948","Glyma.01G095500","Glyma.02G036300",0.991,1.3e-05
"3953","Glyma.01G120400","Glyma.02G036300",0.991,1.63e-05
"3955","Glyma.01G131300","Glyma.02G036300",0.993,9.03e-06
"3969","Glyma.01G159800","Glyma.02G036300",0.996,1.6e-06
"3974","Glyma.01G167500","Glyma.02G036300",0.991,1.53e-05
"3985","Glyma.01G218800","Glyma.02G036300",0.995,4.13e-06
"3986","Glyma.01G219600","Glyma.02G036300",0.995,3.11e-06
"3987","Glyma.01G225200","Glyma.02G036300",0.993,7.5e-06
"3993","Glyma.02G000600","Glyma.02G036300",0.992,1.01e-05
"3999","Glyma.02G015500","Glyma.02G036300",0.993,8.1e-06
"4000","Glyma.02G017400","Glyma.02G036300",0.994,5.65e-06
"4014","Glyma.01G021300","Glyma.02G036500",0.99,1.87e-05
"4015","Glyma.01G021400","Glyma.02G036500",0.991,1.47e-05
"4061","Glyma.01G164500","Glyma.02G036500",0.992,9.67e-06
"4094","Glyma.02G035600","Glyma.02G036500",0.993,9e-06
"4108","Glyma.01G026700","Glyma.02G038000",0.992,1.17e-05
"4138","Glyma.01G139600","Glyma.02G038000",0.994,5e-06
"4174","Glyma.02G003300","Glyma.02G038000",0.997,1.25e-06
"4189","Glyma.01G006400","Glyma.02G038100",0.993,8.41e-06
"4197","Glyma.01G022500","Glyma.02G038100",0.99,1.77e-05
"4198","Glyma.01G025100","Glyma.02G038100",0.997,7.55e-07
"4199","Glyma.01G026700","Glyma.02G038100",0.994,6.22e-06
"4202","Glyma.01G028900","Glyma.02G038100",0.992,1.18e-05
"4210","Glyma.01G056300","Glyma.02G038100",0.993,7.23e-06
"4212","Glyma.01G058000","Glyma.02G038100",0.996,2.45e-06
"4218","Glyma.01G095500","Glyma.02G038100",0.995,2.79e-06
"4220","Glyma.01G107500","Glyma.02G038100",0.996,1.82e-06
"4228","Glyma.01G133000","Glyma.02G038100",0.993,6.66e-06
"4237","Glyma.01G157600","Glyma.02G038100",0.997,9.65e-07
"4241","Glyma.01G164300","Glyma.02G038100",0.996,2.53e-06
"4244","Glyma.01G167500","Glyma.02G038100",0.991,1.33e-05
"4247","Glyma.01G181500","Glyma.02G038100",0.999,1.1e-07
"4252","Glyma.01G197800","Glyma.02G038100",0.991,1.47e-05
"4255","Glyma.01G218800","Glyma.02G038100",0.994,5.24e-06
"4256","Glyma.01G219600","Glyma.02G038100",0.998,5.15e-07
"4257","Glyma.01G225200","Glyma.02G038100",0.999,3.1e-08
"4260","Glyma.01G236600","Glyma.02G038100",0.993,8.64e-06
"4263","Glyma.02G000600","Glyma.02G038100",0.994,5.78e-06
"4270","Glyma.02G017400","Glyma.02G038100",0.991,1.53e-05
"4273","Glyma.02G032800","Glyma.02G038100",0.998,3.09e-07
"4290","Glyma.01G025100","Glyma.02G047700",0.996,2.36e-06
"4291","Glyma.01G026700","Glyma.02G047700",0.993,8.78e-06
"4294","Glyma.01G028900","Glyma.02G047700",0.99,1.91e-05
"4302","Glyma.01G056300","Glyma.02G047700",0.997,1.31e-06
"4307","Glyma.01G081300","Glyma.02G047700",0.993,6.88e-06
"4310","Glyma.01G095500","Glyma.02G047700",0.99,1.77e-05
"4320","Glyma.01G133000","Glyma.02G047700",0.991,1.67e-05
"4329","Glyma.01G157600","Glyma.02G047700",0.996,2.21e-06
"4333","Glyma.01G164300","Glyma.02G047700",0.994,4.69e-06
"4335","Glyma.01G164900","Glyma.02G047700",0.992,9.99e-06
"4339","Glyma.01G181500","Glyma.02G047700",0.997,1.08e-06
"4347","Glyma.01G218800","Glyma.02G047700",0.991,1.52e-05
"4348","Glyma.01G219600","Glyma.02G047700",0.993,7.59e-06
"4349","Glyma.01G225200","Glyma.02G047700",0.995,2.69e-06
"4357","Glyma.02G003300","Glyma.02G047700",0.991,1.57e-05
"4365","Glyma.02G032800","Glyma.02G047700",0.996,2.4e-06
"4371","Glyma.02G038100","Glyma.02G047700",0.998,5.45e-07
"4383","Glyma.01G025100","Glyma.02G052600",0.993,6.84e-06
"4414","Glyma.01G139600","Glyma.02G052600",0.994,5.94e-06
"4426","Glyma.01G164300","Glyma.02G052600",0.996,1.83e-06
"4450","Glyma.02G003300","Glyma.02G052600",0.993,8.14e-06
"4465","Glyma.02G047700","Glyma.02G052600",0.991,1.42e-05
"4476","Glyma.01G022500","Glyma.02G057000",0.99,1.9e-05
"4477","Glyma.01G025100","Glyma.02G057000",0.994,4.72e-06
"4478","Glyma.01G026700","Glyma.02G057000",0.992,9.56e-06
"4489","Glyma.01G056300","Glyma.02G057000",0.991,1.29e-05
"4499","Glyma.01G107500","Glyma.02G057000",0.993,8.01e-06
"4516","Glyma.01G157600","Glyma.02G057000",0.992,1.16e-05
"4520","Glyma.01G164300","Glyma.02G057000",0.997,1e-06
"4523","Glyma.01G167500","Glyma.02G057000",0.993,8.79e-06
"4526","Glyma.01G181500","Glyma.02G057000",0.997,1.08e-06
"4535","Glyma.01G219600","Glyma.02G057000",0.992,1.24e-05
"4536","Glyma.01G225200","Glyma.02G057000",0.995,2.76e-06
"4539","Glyma.01G236600","Glyma.02G057000",0.992,9.6e-06
"4542","Glyma.02G000600","Glyma.02G057000",0.993,6.72e-06
"4544","Glyma.02G003300","Glyma.02G057000",0.99,1.69e-05
"4552","Glyma.02G032800","Glyma.02G057000",0.993,6.8e-06
"4558","Glyma.02G038100","Glyma.02G057000",0.997,6.83e-07
"4559","Glyma.02G047700","Glyma.02G057000",0.995,2.76e-06
"4560","Glyma.02G052600","Glyma.02G057000",0.992,1.18e-05
"4572","Glyma.01G025100","Glyma.02G061400",0.992,1.12e-05
"4573","Glyma.01G026700","Glyma.02G061400",0.996,2.45e-06
"4586","Glyma.01G058000","Glyma.02G061400",0.992,1.09e-05
"4589","Glyma.01G081300","Glyma.02G061400",0.994,6.06e-06
"4592","Glyma.01G095500","Glyma.02G061400",0.996,1.55e-06
"4602","Glyma.01G133000","Glyma.02G061400",0.997,1e-06
"4611","Glyma.01G157600","Glyma.02G061400",0.998,4.82e-07
"4617","Glyma.01G164900","Glyma.02G061400",0.992,1.22e-05
"4621","Glyma.01G181500","Glyma.02G061400",0.993,7.66e-06
"4626","Glyma.01G197800","Glyma.02G061400",0.995,3.17e-06
"4629","Glyma.01G218800","Glyma.02G061400",0.992,1.06e-05
"4630","Glyma.01G219600","Glyma.02G061400",0.993,7.08e-06
"4631","Glyma.01G225200","Glyma.02G061400",0.995,3.68e-06
"4647","Glyma.02G032800","Glyma.02G061400",0.995,3.97e-06
"4653","Glyma.02G038100","Glyma.02G061400",0.996,2.54e-06
"4654","Glyma.02G047700","Glyma.02G061400",0.994,5.74e-06
"4677","Glyma.01G046000","Glyma.02G064800",0.993,7.1e-06
"4737","Glyma.02G008100","Glyma.02G064800",0.99,1.7e-05
"4959","Glyma.01G021300","Glyma.02G069800",0.992,1.05e-05
"4960","Glyma.01G021400","Glyma.02G069800",0.995,4.02e-06
"5006","Glyma.01G164500","Glyma.02G069800",0.995,4.18e-06
"5039","Glyma.02G035600","Glyma.02G069800",0.993,8.11e-06
"5041","Glyma.02G036500","Glyma.02G069800",0.999,1.5e-07
"5496","Glyma.01G117800","Glyma.02G101500",0.991,1.62e-05
"6332","Glyma.01G010100","Glyma.02G132400",0.997,1.01e-06
"6365","Glyma.01G120400","Glyma.02G132400",0.993,8.16e-06
"6367","Glyma.01G131300","Glyma.02G132400",0.997,7.08e-07
"6411","Glyma.02G015500","Glyma.02G132400",0.99,1.8e-05
"6418","Glyma.02G036300","Glyma.02G132400",0.991,1.31e-05
"6565","Glyma.01G021400","Glyma.02G139500",0.99,1.74e-05
"6707","Glyma.01G120400","Glyma.02G143500",0.997,1.3e-06
"6709","Glyma.01G131300","Glyma.02G143500",0.991,1.66e-05
"6723","Glyma.01G159800","Glyma.02G143500",0.994,4.94e-06
"6760","Glyma.02G036300","Glyma.02G143500",0.992,1.22e-05
"6784","Glyma.02G132400","Glyma.02G143500",0.994,4.83e-06
"7009","Glyma.02G101500","Glyma.02G186100",0.992,1.1e-05
"7024","Glyma.01G006400","Glyma.02G189600",0.997,8.22e-07
"7027","Glyma.01G016500","Glyma.02G189600",0.992,1.21e-05
"7033","Glyma.01G025100","Glyma.02G189600",0.993,8.6e-06
"7037","Glyma.01G028900","Glyma.02G189600",0.994,6.41e-06
"7042","Glyma.01G046000","Glyma.02G189600",0.991,1.35e-05
"7045","Glyma.01G056300","Glyma.02G189600",0.99,1.87e-05
"7047","Glyma.01G058000","Glyma.02G189600",0.997,9.34e-07
"7055","Glyma.01G107500","Glyma.02G189600",0.996,2.33e-06
"7074","Glyma.01G159800","Glyma.02G189600",0.994,5.76e-06
"7082","Glyma.01G181500","Glyma.02G189600",0.995,3.67e-06
"7090","Glyma.01G218800","Glyma.02G189600",0.999,8.2e-08
"7091","Glyma.01G219600","Glyma.02G189600",0.998,3.32e-07
"7092","Glyma.01G225200","Glyma.02G189600",0.995,3.79e-06
"7098","Glyma.02G000600","Glyma.02G189600",0.993,6.66e-06
"7108","Glyma.02G032800","Glyma.02G189600",0.996,1.67e-06
"7111","Glyma.02G036300","Glyma.02G189600",0.992,9.77e-06
"7114","Glyma.02G038100","Glyma.02G189600",0.994,4.36e-06
"7115","Glyma.02G047700","Glyma.02G189600",0.992,1.22e-05
"7595","Glyma.02G038000","Glyma.02G202100",0.996,1.93e-06
"8013","Glyma.01G025100","Glyma.02G212600",0.995,3.78e-06
"8014","Glyma.01G026700","Glyma.02G212600",0.997,7.04e-07
"8025","Glyma.01G056300","Glyma.02G212600",0.994,5.15e-06
"8030","Glyma.01G081300","Glyma.02G212600",0.997,8.05e-07
"8043","Glyma.01G133000","Glyma.02G212600",0.99,1.69e-05
"8052","Glyma.01G157600","Glyma.02G212600",0.998,5.92e-07
"8056","Glyma.01G164300","Glyma.02G212600",0.994,5.64e-06
"8058","Glyma.01G164900","Glyma.02G212600",0.995,2.8e-06
"8062","Glyma.01G181500","Glyma.02G212600",0.993,8.97e-06
"8072","Glyma.01G225200","Glyma.02G212600",0.992,1.17e-05
"8080","Glyma.02G003300","Glyma.02G212600",0.995,2.99e-06
"8088","Glyma.02G032800","Glyma.02G212600",0.994,4.75e-06
"8093","Glyma.02G038000","Glyma.02G212600",0.992,9.34e-06
"8094","Glyma.02G038100","Glyma.02G212600",0.995,3.27e-06
"8095","Glyma.02G047700","Glyma.02G212600",0.998,5.09e-07
"8096","Glyma.02G052600","Glyma.02G212600",0.99,1.82e-05
"8097","Glyma.02G057000","Glyma.02G212600",0.992,9.4e-06
"8098","Glyma.02G061400","Glyma.02G212600",0.996,2.21e-06
"8131","Glyma.01G006400","Glyma.02G212700",0.996,2.21e-06
"8154","Glyma.01G058000","Glyma.02G212700",0.997,8.27e-07
"8155","Glyma.01G063000","Glyma.02G212700",0.992,1.05e-05
"8162","Glyma.01G107500","Glyma.02G212700",0.993,8.06e-06
"8181","Glyma.01G159800","Glyma.02G212700",0.994,4.3e-06
"8189","Glyma.01G181500","Glyma.02G212700",0.993,7.22e-06
"8197","Glyma.01G218800","Glyma.02G212700",0.995,3.02e-06
"8198","Glyma.01G219600","Glyma.02G212700",0.996,1.73e-06
"8199","Glyma.01G225200","Glyma.02G212700",0.993,9.08e-06
"8205","Glyma.02G000600","Glyma.02G212700",0.996,1.92e-06
"8211","Glyma.02G015500","Glyma.02G212700",0.994,5.84e-06
"8212","Glyma.02G017400","Glyma.02G212700",0.995,3.24e-06
"8218","Glyma.02G036300","Glyma.02G212700",0.997,9.76e-07
"8221","Glyma.02G038100","Glyma.02G212700",0.99,1.71e-05
"8248","Glyma.02G189600","Glyma.02G212700",0.995,2.62e-06
"8294","Glyma.01G123100","Glyma.02G215300",0.993,6.77e-06
"8401","Glyma.01G028900","Glyma.02G217100",0.991,1.56e-05
"8436","Glyma.01G157600","Glyma.02G217100",0.991,1.65e-05
"8524","Glyma.01G021300","Glyma.02G218100",0.993,6.59e-06
"8525","Glyma.01G021400","Glyma.02G218100",0.995,3.07e-06
"8571","Glyma.01G164500","Glyma.02G218100",0.993,9.31e-06
"8606","Glyma.02G036500","Glyma.02G218100",0.995,3.32e-06
"8616","Glyma.02G069800","Glyma.02G218100",0.997,1.31e-06
"8658","Glyma.01G025100","Glyma.02G220000",0.998,5.51e-07
"8659","Glyma.01G026700","Glyma.02G220000",0.997,1.19e-06
"8662","Glyma.01G028900","Glyma.02G220000",0.992,9.87e-06
"8678","Glyma.01G095500","Glyma.02G220000",0.992,1.18e-05
"8680","Glyma.01G107500","Glyma.02G220000",0.993,7.92e-06
"8688","Glyma.01G133000","Glyma.02G220000",0.99,1.79e-05
"8697","Glyma.01G157600","Glyma.02G220000",0.998,2.85e-07
"8701","Glyma.01G164300","Glyma.02G220000",0.997,1.38e-06
"8707","Glyma.01G181500","Glyma.02G220000",0.993,7.11e-06
"8716","Glyma.01G219600","Glyma.02G220000",0.992,1.03e-05
"8717","Glyma.01G225200","Glyma.02G220000",0.996,2.58e-06
"8720","Glyma.01G236600","Glyma.02G220000",0.996,1.55e-06
"8725","Glyma.02G003300","Glyma.02G220000",0.99,1.85e-05
"8733","Glyma.02G032800","Glyma.02G220000",0.997,1.2e-06
"8739","Glyma.02G038100","Glyma.02G220000",0.997,8.35e-07
"8740","Glyma.02G047700","Glyma.02G220000",0.993,6.87e-06
"8742","Glyma.02G057000","Glyma.02G220000",0.995,3.48e-06
"8743","Glyma.02G061400","Glyma.02G220000",0.995,3.5e-06
"8774","Glyma.02G212600","Glyma.02G220000",0.995,2.98e-06
"8781","Glyma.01G006400","Glyma.02G220700",0.996,1.96e-06
"8784","Glyma.01G016500","Glyma.02G220700",0.991,1.64e-05
"8804","Glyma.01G058000","Glyma.02G220700",0.996,1.47e-06
